stemmed_text;Score;Sentiment
['capek', 'deh', 'lihat', 'timeline', 'indonesia', 'isi', 'demo', 'provok', 'buzzer', 'dan', 'ras', 'luar', 'negeri', 'utama', 'matematika', 'sains', 'ai', 'bahasa', 'politik', 'sosial', 'ekonomi', 'bisnis', 'filsafat', 'dan', 'hal', 'manfaat'];2;Positif
['ai', 'tumbuh', 'lapang', 'kerja', 'mantan', 'menteri', 'pariwisata', 'dan', 'ekonomi', 'kreatif', 'sandiaga', 'uno', 'tekan', 'peran', 'penting', 'hadir', 'teknologi', 'kini', 'baca', 'lengkap', 'sini'];3;Positif
['davidsunarna', 'pid', 'david', 'lo', 'saja', 'colong', 'duit', 'bisnis', 'bareng', 'teman', 'lo', 'pakai', 'buat', 'coba', 'apem', 'jepang', 'wkwkwk', 'btw', 'gim', 'pit', 'telah', 'dapat', 'proyek', 'ai', 'dari', 'fufufafa', 'bisa', 'korup', 'tidak', 'wkwkwk'];-1;Negatif
['masa', 'depan', 'sudah', 'tiba', 'bayang', 'satu', 'alat', 'ai', 'yang', 'bisa', 'bantu', 'bisnis', 'konten', 'dan', 'ide', 'kreatif', 'anda', 'dalam', 'hitung', 'detik', 'itu', 'bukan', 'mimpi', 'itu', 'akool', 'ai', 'link', 'siapa', 'jadi', 'yang', 'pertama', 'coba', 'ai', 'innovation', 'akool', 'future'];0;Netral
['cara', 'ai', 'erp', 'scaleocean', 'hasil', 'roi', 'tinggi', 'bagi', 'bisnis'];2;Positif
['satu', 'aplikasi', 'ribu', 'solusi', 'lewat', 'satu', 'genggam', 'agam', 'mudah', 'bisa', 'kamu', 'dapat', 'tidak', 'hanya', 'satu', 'zarfix', 'hadir', 'dengan', 'agam', 'fitur', 'yang', 'bisa', 'mudah', 'bisnis', 'dan', 'usaha'];0;Netral
['ajg', 'ieu', 'kira', 'kondisi', 'kieu', 'bisa', 'nya', 'aya', 'knh', 'nu', 'narima', 'gawean', 'jadi', 'buzzer', 'ai', 'saria', 'nu', 'ngajalan', 'kan', 'bisnis', 'buzzer', 'mikirna', 'mni', 'pondok'];2;Positif
['wall', 'street', 'seok', 'di', 'zona', 'merah', 'garagara', 'saham', 'ai', 'lesu'];-1;Negatif
['wall', 'street', 'seok', 'di', 'zona', 'merah', 'garagara', 'saham', 'ai', 'lesu'];-1;Negatif
['resiliensi', 'di', 'era', 'bani', 'peran', 'artificial', 'intelligence', 'ai', 'di', 'bidang', 'akuntansi', 'ekonomi', 'dan', 'bisnis', 'bagai', 'strategi', 'siap', 'generasi', 'profesional', 'link', 'daftar'];1;Positif
['bisnis', 'ai', 'paling', 'dahsyat', 'produk', 'digital', 'ai', 'pasar', 'dunia', 'landing', 'page', 'sudah', 'ready', 'multiple', 'languages', 'payment', 'gateway', 'sudah', 'ready', 'support', 'system', 'padu', 'komuniti', 'sedia', 'bantu', 'marketing', 'online', 'copy', 'paste', 'je'];7;Positif
['kenapa', 'banyak', 'proyek', 'ai', 'gagal', 'di', 'bisnis'];0;Netral
['bisnis', 'mulai', 'stagnan', 'kadang', 'bukan', 'karena', 'ide', 'habis', 'tapi', 'karena', 'strategi', 'belum', 'tajam', 'ikut', 'zaman', 'mulai', 'dari', 'analisis', 'tren', 'dan', 'perilaku', 'konsumen', 'bikin', 'putus', 'lebih', 'presisi', 'ai', 'bisa', 'bantu', 'kamu', 'biar', 'tetap', 'relevan', 'dan', 'gesit', 'yuk', 'ulik', 'peran', 'ai', 'untuk', 'strategi', 'bisnis'];4;Positif
